,group,subgroup,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
C60.pi21,CAT,C60,0.001700343,0.006067433,0.00042229,0.001071149,0.002905942,0.001642418,0.001173174,0.003557961,0.002763047,0.001229119,0.012742081,0.00042738,0.002567135,0.051337702,0.001353674,0.001187167,0.001403307,0.864043694,0.039091258,0.003313727
C60.pi22,CAT,C60,0.046836068,0.063979692,0.020560369,0.018561552,0.005995414,0.055703082,0.070543604,0.004543533,0.015206277,0.155061336,0.082425338,0.086624835,0.024585444,0.008017719,0.008148562,0.023702562,0.09620545,0.001836867,0.006713172,0.204749124
C60.pi23,CAT,C60,0.025876479,0.020109712,0.029838411,0.010703744,0.014250391,0.015852943,0.010564953,0.0073065,0.141107883,0.011477763,0.040799241,0.01191792,0.0098799,0.187642996,0.005122881,0.027569964,0.01707649,0.0405125,0.353639083,0.018750245
C60.pi24,CAT,C60,0.029628502,0.004640033,0.003494439,0.000885102,0.009004647,0.005548111,0.003304652,0.002796948,0.00507015,0.258339775,0.266808548,0.004669094,0.077082528,0.040879825,0.002691819,0.006853809,0.032226567,0.003550606,0.015335341,0.227189503
C60.pi25,CAT,C60,0.055572581,0.009844786,0.040906443,0.01403896,0.00974186,0.006872771,0.006944319,0.015795656,0.004163126,0.00698265,0.007527125,0.013922482,0.005876269,0.003449673,0.011973336,0.348246639,0.421365598,0.001006149,0.002657677,0.013111901
C60.pi26,CAT,C60,0.068267121,0.061520709,0.053066119,0.036027871,0.014143315,0.061227433,0.049741539,0.026869652,0.112767498,0.013264662,0.054449384,0.048260905,0.017003396,0.080337597,0.019194985,0.067183975,0.044399577,0.019995792,0.125507075,0.026771395
C60.pi27,CAT,C60,0.079261881,0.063837719,0.063528937,0.043664617,0.00495033,0.066636519,0.082963912,0.018342857,0.023316924,0.024942725,0.02214834,0.09325776,0.012089338,0.004913115,0.012636012,0.133484866,0.191674593,0.001804009,0.006235312,0.050310236
C60.pi28,CAT,C60,0.073175911,0.210533599,0.032420085,0.011000715,0.01234585,0.085895199,0.034994268,0.022450917,0.038690328,0.02462263,0.050830735,0.178334483,0.018574072,0.009314879,0.014872277,0.060318144,0.064957493,0.00510464,0.013059742,0.038504032
C60.pi29,CAT,C60,0.087840271,0.011033175,0.006080121,0.00328039,0.017114709,0.010983161,0.010146579,0.008709094,0.005490223,0.198776187,0.175646082,0.008209693,0.04172329,0.019195444,0.011128354,0.020986262,0.069771871,0.003174401,0.008190547,0.282520145
C60.pi30,CAT,C60,0.099021582,0.034935199,0.02111495,0.011879795,0.010899568,0.055771068,0.027899999,0.02402501,0.012344507,0.077656472,0.23545113,0.032281779,0.120766543,0.021444206,0.007565554,0.052417014,0.064978512,0.004707581,0.007732872,0.077106661
C60.pi31,CAT,C60,0.060164117,0.016199523,0.278352275,0.033718881,0.031506699,0.021064599,0.005983945,0.054308071,0.053152351,0.007065083,0.007069814,0.013959837,0.008829865,0.006952588,0.007583433,0.282980256,0.086031709,0.001496655,0.013484945,0.010095355
C60.pi32,CAT,C60,0.004978174,0.001841233,0.000701221,0.000531537,0.005297874,0.002408991,0.000763055,0.001505132,0.004157522,0.044382863,0.441741748,0.001161506,0.060280742,0.335111714,0.002784769,0.002579577,0.003028854,0.017130259,0.045845575,0.023767656
C60.pi33,CAT,C60,0.025199659,0.111446811,0.014203193,0.004101229,0.00970995,0.062007075,0.026257164,0.003806727,0.043193894,0.097404325,0.244719742,0.082431286,0.053932302,0.042909164,0.005265851,0.009609311,0.0251183,0.01465719,0.045696514,0.078330314
C60.pi34,CAT,C60,0.023036165,0.001474875,0.001353439,0.000626444,0.004858012,0.000987005,0.001576258,0.001156534,0.000889924,0.395289589,0.057653721,0.001466353,0.014098654,0.007212704,0.002017789,0.002877024,0.020558085,0.00054777,0.001953908,0.460365749
C60.pi35,CAT,C60,0.140877696,0.029780845,0.017129761,0.028507693,0.003221372,0.032063223,0.042383892,0.029955847,0.013132148,0.006691448,0.019512003,0.038378164,0.003627686,0.004123106,0.438346623,0.08514001,0.042276569,0.001323687,0.003708764,0.019819463
C60.pi36,CAT,C60,0.444249122,0.005021655,0.010230512,0.005719304,0.023540537,0.005599764,0.006488989,0.082268771,0.002550574,0.00336151,0.004099006,0.003809707,0.002868307,0.002441321,0.016289096,0.299996971,0.055966494,0.000773543,0.002063982,0.022660835
C60.pi37,CAT,C60,0.089871796,0.007095831,0.013006762,0.012916689,0.004413148,0.002380655,0.005895703,0.808756302,0.001651786,0.000433928,0.001556446,0.003393903,0.000425342,0.000807357,0.003412814,0.036287689,0.003288753,0.00152239,0.000853745,0.002028962
C60.pi38,CAT,C60,0.055084025,0.047225426,0.18778296,0.127379612,0.003582494,0.052796927,0.065588473,0.063760752,0.040488348,0.007557415,0.013630451,0.086768279,0.008168423,0.004037503,0.011068181,0.126338096,0.075254432,0.001356368,0.011859043,0.010272791
C60.pi39,CAT,C60,0.011768139,0.044255881,0.084414463,0.014471211,0.007038825,0.103834205,0.011090116,0.004962658,0.433719405,0.006133704,0.029879494,0.013792856,0.007623755,0.033826634,0.00813461,0.014057109,0.01082768,0.008068307,0.143725173,0.008375777
C60.pi40,CAT,C60,0.015928564,0.004809866,0.003269264,0.001096694,0.008051992,0.013455246,0.002132422,0.002508637,0.004919215,0.050154389,0.530763429,0.003559943,0.216008519,0.074365072,0.004524735,0.00669222,0.011909228,0.007092813,0.010656511,0.028101243
C60.pi41,CAT,C60,0.019597325,0.010514299,0.328910334,0.309984899,0.003453905,0.011619676,0.02507778,0.062752896,0.029596111,0.003265043,0.002824688,0.024096391,0.000842506,0.001970655,0.004906278,0.10649845,0.043805371,0.000633396,0.005619796,0.004030201
C60.pi42,CAT,C60,0.083380436,0.012587144,0.096982422,0.06868207,0.008198114,0.012152093,0.022741542,0.098229188,0.00739549,0.001747118,0.003965311,0.012934215,0.001955798,0.002413258,0.035592423,0.311560648,0.211336861,0.001632903,0.001799108,0.004713858
C60.pi43,CAT,C60,0.018140913,0.412966256,0.023320515,0.003333355,0.00851436,0.052669425,0.009653188,0.022455264,0.037523893,0.003509048,0.014914662,0.320806579,0.004609886,0.003542686,0.008719747,0.026230942,0.013179114,0.0034767,0.00795882,0.004474647
C60.pi44,CAT,C60,0.24942274,0.018548172,0.016411957,0.01692343,0.012286265,0.022850198,0.037049108,0.034746771,0.008706959,0.059571836,0.045106503,0.017706473,0.020455613,0.007736092,0.068640354,0.088929567,0.098601736,0.002860386,0.006193848,0.167251992
C60.pi45,CAT,C60,0.141973764,0.037394596,0.057629689,0.053745248,0.006885666,0.028623997,0.040754029,0.398810787,0.015289562,0.001662762,0.00923483,0.031427381,0.00554255,0.004028613,0.018032887,0.1123732,0.02424782,0.00259091,0.004905421,0.004846291
C60.pi46,CAT,C60,0.017890331,0.195884365,0.01558539,0.003105428,0.029030423,0.105181926,0.004050339,0.010048029,0.125269622,0.0016708,0.072235665,0.023334017,0.011614235,0.023891326,0.000993842,0.018167554,0.018626022,0.226055469,0.085978723,0.011386496
C60.pi47,CAT,C60,0.145475837,0.042097907,0.040041972,0.129424975,0.001418633,0.090646906,0.247135346,0.031965077,0.013042618,0.005852537,0.012359314,0.081815409,0.004417894,0.001755208,0.015113553,0.065668817,0.051128947,0.000773144,0.002925844,0.016940064
C60.pi48,CAT,C60,0.016979946,0.02423467,0.131804792,0.10436551,0.002208722,0.026934968,0.037637959,0.540447018,0.018113705,0.000745968,0.002114699,0.050861761,0.000947377,0.000678059,0.00387544,0.029703016,0.004583618,0.000603189,0.001570409,0.001589173
C60.pi49,CAT,C60,0.040264625,0.11520226,0.032382917,0.029396835,0.003938866,0.249700804,0.160352425,0.012926041,0.061796784,0.009849126,0.035491882,0.144880442,0.012481887,0.004115338,0.004337423,0.024324696,0.030564537,0.00266766,0.009722785,0.015602669
C60.pi50,CAT,C60,0.225691461,0.052341749,0.024430873,0.063712522,0.004339015,0.057815924,0.115483064,0.086733517,0.013106695,0.008508622,0.019331422,0.06604688,0.006487721,0.002744005,0.06111491,0.107087718,0.050767714,0.001369591,0.002898295,0.029988301
C60.pi51,CAT,C60,0.003316421,0.001531077,0.003083017,0.000826647,0.005189073,0.001102489,0.000513413,0.001043283,0.027845126,0.004189527,0.011121249,0.000714992,0.002362178,0.380176145,0.000836508,0.00358767,0.002360895,0.033334699,0.510788964,0.006076627
C60.pi52,CAT,C60,0.199501401,0.023607868,0.039225454,0.00949551,0.058459045,0.025426536,0.012553537,0.093978734,0.03418572,0.014020988,0.044938757,0.01187233,0.024699063,0.063443394,0.014538532,0.166392064,0.053315921,0.012980267,0.060634616,0.036730261
C60.pi53,CAT,C60,0.031944899,0.101166727,0.208470922,0.037807465,0.006604035,0.076637294,0.027948819,0.036554113,0.208864326,0.004754235,0.015654573,0.086866478,0.004325332,0.010891577,0.006089958,0.057765694,0.030205116,0.002600188,0.03878973,0.00605852
C60.pi54,CAT,C60,0.077679952,0.014251858,0.040321669,0.008065173,0.014009296,0.017999552,0.011262243,0.013686824,0.01337299,0.123963538,0.072467099,0.012914497,0.042074544,0.017358491,0.011708443,0.092272357,0.231689945,0.002815363,0.014172654,0.167913513
C60.pi55,CAT,C60,0.118366266,0.080519261,0.025952493,0.049559544,0.003562484,0.120492492,0.153758921,0.019499343,0.022937317,0.030266121,0.057125063,0.098230411,0.017172747,0.006866571,0.017515303,0.04865884,0.063579621,0.002300831,0.008302743,0.05533363
C60.pi56,CAT,C60,0.05285599,0.019356904,0.026474377,0.209276152,0.000862588,0.121240972,0.402418978,0.015583846,0.01241488,0.005486483,0.009025647,0.049701703,0.004235711,0.001265072,0.006318564,0.01972629,0.023546374,0.000838161,0.003394874,0.015976435
C60.pi57,CAT,C60,0.034436622,0.042622182,0.163671619,0.113900749,0.002098598,0.060541399,0.054178022,0.336163967,0.046177674,0.000346342,0.004835568,0.066755297,0.001970451,0.003155762,0.004036978,0.048117333,0.008914809,0.00065101,0.005414565,0.002011056
C60.pi58,CAT,C60,0.115308895,0.015127864,0.04584766,0.175551668,0.001496236,0.036673122,0.174941005,0.039418131,0.013240153,0.005691297,0.010140956,0.043311839,0.003033206,0.001570023,0.166580256,0.087153603,0.04682606,0.00075157,0.003143272,0.014193183
C60.pi59,CAT,C60,0.386514935,0.003757933,0.00304205,0.002236681,0.021892836,0.002146474,0.003138784,0.369435398,0.00146729,0.008537608,0.012725724,0.001884046,0.00805817,0.003928137,0.015868829,0.080887728,0.030519594,0.000992288,0.001902035,0.041063462
C60.pi60,CAT,C60,0.014657075,0.002884133,0.001299834,0.000521058,0.002431791,0.004936275,0.001487437,0.002095325,0.001018194,0.191390148,0.443279776,0.002289837,0.221742706,0.00916375,0.000768515,0.002725149,0.01709975,0.000877938,0.001475603,0.077855708
Q.bac_locus,BAC,global,0.07225,0.052122,0.044774,0.047161,0.008376,0.037337,0.077807,0.049815,0.017187,0.07794,0.10816,0.091533,0.021123,0.044137,0.027516,0.065306,0.049768,0.007813,0.029696,0.07018
